#BASIS SET
H  S
8.374435    2.609612e-02
1.805868    1.430274e-01
0.485253    3.477887e-01
0.165824    5.994000e-01
#BASIS SET
He  S
13.210846   -4.951658e-02
4.278458   -1.453821e-01
1.415227   -3.206686e-01
0.488893   -4.317514e-01
0.318412    3.940716e-03
0.172934   -2.241096e-01
#BASIS SET
Li  S
7.298459   -2.822743e-01  4.289745e-02
2.139580   -4.552574e-01  9.702064e-02
0.670836   -3.836566e-01  1.329801e-01
0.047832   -9.344667e-03 -1.036447e+00
Li  P
7.853830   -3.018518e-01
2.204330   -6.847663e-01
0.513280   -1.826981e-01
0.079100    1.656622e-02
#BASIS SET
Be  S
12.210496   -2.940121e-01  4.936502e-02
4.013466   -4.327368e-01  1.077325e-01
1.340213   -3.823777e-01  1.607847e-01
0.181843   -1.443563e-02 -5.637662e-01
0.059652    1.409003e-02 -5.469459e-01
Be  P
9.800264   -1.324703e-02
1.126390   -9.311970e-02
0.280445   -5.120906e-01
0.095949   -5.222108e-01
#BASIS SET
B  S
2.808326    1.386864e-01
0.289612   -6.233600e-01
0.094541   -4.738000e-01
B  P
3.124807   -7.016545e-02
0.846409   -2.629303e-01
0.260375   -5.071246e-01
0.081357   -3.808299e-01
#BASIS SET
C  S
9.031436    2.066472e-02
3.821255    1.271931e-01
0.473725   -5.844191e-01
0.149679   -5.207576e-01
C  P
4.353457   -8.750812e-02
1.266307   -2.859254e-01
0.398715   -4.922891e-01
0.124238   -3.639655e-01
#BASIS SET
N  S
10.825244    3.579310e-02
4.650477    1.279219e-01
0.858530   -3.811205e-01
0.346728   -5.038967e-01
0.138771   -2.468678e-01
N  P
7.774915   -5.637140e-02
2.785927   -1.757899e-01
1.011876   -3.662688e-01
0.371560   -4.209394e-01
0.132073   -2.232128e-01
#BASIS SET
O  S
14.482841   -3.709646e-02
6.284704   -1.289306e-01
1.164884    3.832378e-01
0.468441    5.235280e-01
0.221262   -2.894768e-02
0.184961    2.546007e-01
O  P
10.213949   -6.132802e-02
3.622324   -1.901412e-01
1.299051   -3.708628e-01
0.463791   -4.164231e-01
0.274670    9.155869e-03
0.157848   -2.290394e-01
#BASIS SET
F  S
19.343755   -3.373560e-02
8.171844   -1.339845e-01
1.512425    3.870307e-01
0.605694    5.253524e-01
0.293680   -8.554965e-03
0.236889    2.293692e-01
F  P
13.593218    6.071060e-02
4.780664    1.915513e-01
1.707567    3.691267e-01
0.602699    4.146153e-01
0.357926   -6.815581e-03
0.200679    2.352240e-01
#BASIS SET
Ne  S
23.302447   -3.987902e-02
9.703904   -1.378014e-01
3.472360    5.315627e-02
1.685413    4.062583e-01
0.694978    5.017372e-01
0.375235   -9.758259e-03
0.277835    1.927460e-01
Ne  P
19.809787    4.009022e-02
8.408073    1.261499e-01
3.332351    2.686002e-01
1.337956    3.639804e-01
0.522410    3.376231e-01
0.455788   -1.106857e-02
0.193122    1.469392e-01
#BASIS SET
Na  S
16.175831    1.592348e-01 -2.561323e-02
2.140509   -4.707781e-01  8.139507e-02
0.883841   -4.700370e-01  1.462851e-01
0.405123   -1.731745e-01  7.688584e-02
0.041252   -2.536808e-03 -1.047184e+00
Na  P
20.082894    7.412833e-02 -9.913471e-02
7.614307    2.039778e-01 -3.975700e-01
2.825055    3.697357e-01 -5.254955e-01
1.048578    4.063590e-01  5.120917e-01
0.373799    1.911688e-01  5.221138e-01
0.068786    6.411058e-03  2.085634e-02
#BASIS SET
Mg  S
19.900552    1.655473e-01 -3.404662e-02
2.432226   -5.791722e-01  1.476854e-01
0.853222   -5.209832e-01  2.187414e-01
0.071290   -1.215723e-02 -1.059481e+00
Mg  P
23.004243   -9.276374e-02  2.501615e-02
7.336679   -3.000513e-01  8.467134e-02
2.345397   -4.973788e-01  1.309768e-01
0.740882   -3.294636e-01 -5.185718e-03
0.109362   -1.495578e-02 -9.931527e-01
#BASIS SET
Al  S
0.990359    2.297166e-01
0.176287   -6.636821e-01
0.063442   -4.829070e-01
Al  P
0.196148   -5.060973e-01
0.056845   -5.984909e-01
#BASIS SET
Si  S
1.271038    2.706512e-01
0.307669   -4.210959e-01
0.141794   -5.565860e-01
0.062460   -2.024254e-01
Si  P
1.610683    2.596553e-02
0.384570   -3.104573e-01
0.148473   -5.269379e-01
0.055964   -2.986502e-01
#BASIS SET
P  S
1.530023    3.102697e-01
0.506175   -2.924678e-01
0.222875   -6.309341e-01
0.091480   -2.923256e-01
P  P
2.392373    2.905682e-02
0.508607   -3.309287e-01
0.200789   -5.243208e-01
0.076389   -2.771288e-01
#BASIS SET
S  S
5.232914    1.617473e-02
2.049267   -3.049267e-01
0.467931    5.028961e-01
0.214478    5.155746e-01
0.100338    1.691248e-02
0.095967    1.551725e-01
S  P
3.176698    3.454241e-02
0.645077   -3.513957e-01
0.248500   -5.217650e-01
0.132391    8.221598e-03
0.090795   -2.774486e-01
#BASIS SET
Cl  S
6.207531    1.847674e-02
2.434800   -3.216899e-01
0.584559    4.891577e-01
0.270443    5.315521e-01
0.122066    7.181971e-02
0.119753    1.076833e-01
Cl  P
3.836209    3.856025e-02
0.806502   -3.565036e-01
0.310784   -5.177378e-01
0.165037    4.777068e-03
0.112382   -2.761281e-01
#BASIS SET
Ar  S
2.463919    3.835328e-01
0.977025   -3.587972e-01
0.395235   -6.758838e-01
0.159883   -2.314223e-01
0.147159   -1.225477e-02
Ar  P
4.562559    3.798775e-02
0.976667   -3.663249e-01
0.375993   -5.149627e-01
0.203772    1.644229e-03
0.135661   -2.659563e-01
